TimeStamp,X,Y,Z
16:7:44.47,2,-5,0
16:7:44.47,-1,-3,0
16:7:44.47,-3,-3,0
16:7:44.47,-3,-3,1
16:7:44.47,2,-7,1
16:7:44.47,-4,-6,0
16:7:44.47,-3,-3,1
16:7:44.47,0,-5,1
16:7:44.47,3,-7,-1
16:7:44.47,-6,-3,0
16:7:44.47,-2,-2,1
16:7:44.47,4,0,0
16:7:44.47,3,-3,1
16:7:44.47,3,1,1
16:7:44.47,0,-2,1
16:7:44.47,1,-3,2
16:7:44.47,1,-2,2
16:7:44.47,-2,3,0
16:7:44.47,2,-4,-1
16:7:44.47,-3,-4,-1
16:7:44.47,0,0,-1
16:7:44.47,0,1,1
16:7:44.47,4,0,2
16:7:44.47,2,-5,1
16:7:44.47,0,1,1
16:7:44.47,3,0,0
16:7:44.47,-1,-3,0
16:7:44.47,-3,-4,1
16:7:44.78,0,-3,-1
16:7:44.78,4,-2,1
16:7:44.78,-1,-6,-1
16:7:44.78,-3,1,0
16:7:44.78,5,-2,1
16:7:44.78,-3,-3,1
16:7:44.78,0,3,2
16:7:44.78,-2,0,1
16:7:44.78,-1,-6,2
16:7:44.78,3,-3,-1
16:7:44.78,1,3,0
16:7:44.78,4,-1,-1
16:7:44.78,2,-3,0
16:7:44.78,-2,-2,0
16:7:44.78,-2,0,0
16:7:44.78,-2,-4,0
16:7:44.78,-5,-5,0
16:7:44.78,1,0,1
16:7:44.78,1,-1,1
16:7:44.78,4,-2,1
16:7:44.78,-2,-1,1
16:7:44.78,4,0,0
16:7:44.78,5,1,1
16:7:44.78,-1,-6,1
16:7:44.78,-1,2,1
16:7:44.78,-2,0,0
16:7:44.78,1,-5,0
16:7:44.78,0,1,1
16:7:44.78,-1,0,0
16:7:44.78,4,-3,-1
16:7:44.78,0,-2,0
16:7:44.78,-3,-4,1
16:7:44.110,3,0,0
16:7:44.110,3,-7,0
16:7:44.110,2,0,2
16:7:44.110,3,-1,0
16:7:44.110,0,-2,0
16:7:44.110,-1,1,1
16:7:44.110,2,1,-1
16:7:44.110,1,-1,0
16:7:44.110,-1,-5,0
16:7:44.110,-2,-1,0
16:7:44.110,2,1,1
16:7:44.110,6,-2,2
16:7:44.110,-1,-3,1
16:7:44.110,-1,1,0
16:7:44.110,-2,-2,1
16:7:44.110,0,-4,2
16:7:44.110,-2,-3,-1
16:7:44.110,-2,-2,-2
16:7:44.110,1,-5,1
16:7:44.110,3,1,-1
16:7:44.110,-1,1,0
16:7:44.110,2,1,0
16:7:44.110,0,-1,1
16:7:44.110,-4,-2,0
16:7:44.110,-1,3,1
16:7:44.110,-1,-2,1
16:7:44.110,2,-2,0
16:7:44.110,-3,1,-1
16:7:44.110,2,-3,0
16:7:44.110,4,-6,0
16:7:44.110,-3,-3,2
16:7:44.110,-6,-2,3
16:7:44.144,4,-7,0
16:7:44.144,4,-3,0
16:7:44.144,3,-2,2
16:7:44.144,2,-5,0
16:7:44.144,7,-5,-1
16:7:44.144,-8,1,1
16:7:44.144,-2,-1,-1
16:7:44.144,1,-1,-1
16:7:44.144,0,-3,1
16:7:44.144,3,-3,1
16:7:44.144,0,-3,2
16:7:44.144,6,-4,0
16:7:44.144,-1,-1,1
16:7:44.144,0,-3,1
16:7:44.144,4,-4,0
16:7:44.144,-4,-4,0
16:7:44.144,-4,-4,-2
16:7:44.144,1,0,-1
16:7:44.144,-2,-6,0
16:7:44.144,2,-3,1
16:7:44.144,3,1,1
16:7:44.144,5,-3,1
16:7:44.144,1,0,1
16:7:44.144,3,-4,1
16:7:44.144,2,0,0
16:7:44.144,-1,-9,0
16:7:44.144,-1,-3,0
16:7:44.144,-2,1,1
16:7:44.144,2,-1,1
16:7:44.144,-4,-3,2
16:7:44.144,-2,-2,0
16:7:44.144,2,0,0
16:7:44.175,-2,-5,1
16:7:44.175,-3,-5,0
16:7:44.175,4,0,0
16:7:44.175,4,-1,-1
16:7:44.175,5,-2,0
16:7:44.175,-3,-4,0
16:7:44.175,2,-3,0
16:7:44.175,-1,-4,2
16:7:44.175,-4,-3,-1
16:7:44.175,-1,2,0
16:7:44.175,2,-3,0
16:7:44.175,3,-2,-1
16:7:44.175,0,1,0
16:7:44.175,2,-1,0
16:7:44.175,3,-4,1
16:7:44.175,0,-5,1
16:7:44.175,1,-1,0
16:7:44.175,-1,-5,1
16:7:44.175,0,-1,1
16:7:44.175,2,-4,0
16:7:44.175,-1,-5,0
16:7:44.175,3,-7,0
16:7:44.175,-3,-7,0
16:7:44.175,1,-1,-2
16:7:44.175,4,2,0
16:7:44.175,1,-4,1
16:7:44.175,2,-3,1
16:7:44.175,2,-3,1
16:7:44.176,4,-1,0
16:7:44.176,-3,0,2
16:7:44.176,-3,-2,0
16:7:44.176,-1,-2,1
16:7:44.204,-5,-4,-1
16:7:44.204,0,-4,0
16:7:44.204,-1,2,-1
16:7:44.204,-1,-2,3
16:7:44.204,2,-6,2
16:7:44.204,0,-2,0
16:7:44.204,0,1,1
16:7:44.204,2,-5,1
16:7:44.204,-3,-3,1
16:7:44.204,2,1,0
16:7:44.204,1,-3,0
16:7:44.204,-1,-3,0
16:7:44.204,0,2,1
16:7:44.204,5,1,1
16:7:44.204,-1,-3,1
16:7:44.204,1,-2,2
16:7:44.204,1,-3,2
16:7:44.204,1,-3,1
16:7:44.204,0,-3,0
16:7:44.204,1,4,0
16:7:44.204,1,0,1
16:7:44.204,3,-6,0
16:7:44.204,-8,-4,0
16:7:44.204,-1,-1,0
16:7:44.204,0,-3,2
16:7:44.204,1,-4,0
16:7:44.204,-1,0,0
16:7:44.204,3,-1,1
16:7:44.236,4,-2,2
16:7:44.236,3,3,0
16:7:44.236,3,-2,-1
16:7:44.236,-1,-1,0
16:7:44.236,-5,-4,1
16:7:44.236,-3,1,0
16:7:44.236,-2,-7,0
16:7:44.236,2,-4,1
16:7:44.236,-4,-4,1
16:7:44.236,2,-1,1
16:7:44.236,9,-3,0
16:7:44.236,-10,-6,1
16:7:44.236,2,-3,-1
16:7:44.236,2,1,1
16:7:44.236,4,-4,1
16:7:44.236,3,-1,3
16:7:44.236,-1,1,1
16:7:44.236,-1,1,1
16:7:44.236,1,-3,1
16:7:44.236,1,1,1
16:7:44.236,2,-1,-1
16:7:44.236,-2,-6,1
16:7:44.236,2,-4,1
16:7:44.236,-3,0,1
16:7:44.236,6,0,2
16:7:44.236,2,-6,2
16:7:44.236,0,-4,0
16:7:44.236,-1,0,1
16:7:44.236,-1,-2,-1
16:7:44.236,0,-7,-1
16:7:44.236,0,-2,-1
16:7:44.236,2,-3,0
16:7:44.265,7,1,0
