TimeStamp,X,Y,Z
18:5:8.741,-1,0,-2
18:5:8.741,-1,2,-3
18:5:8.741,1,-2,-2
18:5:8.741,-3,0,-3
18:5:8.741,-2,-1,-3
18:5:8.741,-4,4,-4
18:5:8.741,4,-2,-2
18:5:8.741,-1,-1,-1
18:5:8.741,-2,2,-3
18:5:8.742,-1,0,-1
18:5:8.742,2,-1,-3
18:5:8.742,-3,-4,-2
18:5:8.742,3,-2,-4
18:5:8.742,1,-5,-3
18:5:8.742,0,2,-2
18:5:8.742,-4,-1,-2
18:5:8.742,2,-1,-1
18:5:8.742,-4,0,-1
18:5:8.742,0,-2,-3
18:5:8.742,0,-2,0
18:5:8.742,0,0,-1
18:5:8.742,0,0,-3
18:5:8.742,-1,4,-2
18:5:8.742,0,-2,-3
18:5:8.742,-2,-3,-2
18:5:8.742,-4,1,-1
18:5:8.742,3,-2,-2
18:5:8.742,2,-5,-1
18:5:8.742,-3,-1,-2
18:5:8.742,1,0,-2
18:5:8.742,3,1,-1
18:5:8.742,5,1,-2
18:5:8.742,-3,3,-2
18:5:8.742,-1,4,-2
18:5:8.770,0,-1,-3
18:5:8.770,2,-1,-3
18:5:8.770,0,0,-2
18:5:8.770,3,-1,-1
18:5:8.770,0,0,-1
18:5:8.770,-2,-1,-2
18:5:8.770,0,1,-2
18:5:8.770,0,-3,-4
18:5:8.770,-9,2,-4
18:5:8.770,-3,4,-3
18:5:8.770,1,0,-2
18:5:8.770,0,-2,-2
18:5:8.770,0,1,-2
18:5:8.770,2,1,-1
18:5:8.770,0,-1,0
18:5:8.770,-1,0,-1
18:5:8.770,6,1,-1
18:5:8.770,-1,-1,-3
18:5:8.770,-2,-3,-1
18:5:8.770,2,0,-2
18:5:8.770,-1,2,-2
18:5:8.770,0,-4,0
18:5:8.770,-6,-1,-3
18:5:8.770,-4,2,-2
18:5:8.770,-1,0,-3
18:5:8.770,1,-3,-3
18:5:8.770,-2,0,-2
18:5:8.770,-1,2,-3
18:5:8.800,2,-1,-3
18:5:8.800,3,-5,-3
18:5:8.800,-3,1,-4
18:5:8.800,4,-1,-2
18:5:8.800,-1,2,-1
18:5:8.800,-1,3,-2
18:5:8.800,-1,3,-2
18:5:8.800,-1,2,-3
18:5:8.800,-3,2,-2
18:5:8.800,-4,3,-3
18:5:8.800,1,0,-2
18:5:8.800,-2,-3,-4
18:5:8.800,-8,-1,-2
18:5:8.800,-4,0,-1
18:5:8.800,-2,-1,-1
18:5:8.800,2,1,-1
18:5:8.800,-5,2,-3
18:5:8.800,-3,0,-3
18:5:8.800,0,0,-3
18:5:8.800,-2,4,-2
18:5:8.800,-5,2,-4
18:5:8.800,3,1,-3
18:5:8.800,2,-1,-3
18:5:8.800,0,3,-2
18:5:8.800,-1,0,-1
18:5:8.800,0,1,-2
18:5:8.800,-3,0,-3
18:5:8.800,-4,2,-1
18:5:8.800,1,-1,-2
18:5:8.800,-7,-5,-3
18:5:8.832,-4,0,-4
18:5:8.832,-5,3,-4
18:5:8.832,0,-1,-2
18:5:8.832,0,-3,-2
18:5:8.832,2,0,-3
18:5:8.832,-1,0,-2
18:5:8.832,1,-1,-3
18:5:8.832,1,0,-1
18:5:8.832,1,1,-3
18:5:8.832,-2,1,-3
18:5:8.832,1,3,-3
18:5:8.832,-1,2,-2
18:5:8.832,-1,2,-2
18:5:8.832,-4,0,-2
18:5:8.832,1,-2,0
18:5:8.832,-2,0,-3
18:5:8.832,1,0,-1
18:5:8.832,0,-4,-1
18:5:8.832,-5,-1,-2
18:5:8.832,1,-1,-1
18:5:8.832,4,-1,-4
18:5:8.832,-5,1,-3
18:5:8.832,-2,1,-2
18:5:8.832,1,0,-3
18:5:8.832,-2,-3,-3
18:5:8.832,4,2,-2
18:5:8.832,4,-1,-1
18:5:8.832,0,3,-2
18:5:8.832,-2,2,-1
18:5:8.832,5,4,-1
18:5:8.832,2,3,-4
18:5:8.832,-2,-1,-1
18:5:8.867,-5,1,-2
18:5:8.867,-3,-2,-1
18:5:8.867,2,2,-2
18:5:8.867,-9,-1,-2
18:5:8.867,-2,1,-2
18:5:8.867,0,-3,-3
18:5:8.867,-4,0,-3
18:5:8.867,2,-2,-4
18:5:8.867,0,1,-3
18:5:8.867,-1,-5,-3
18:5:8.867,-2,1,-2
18:5:8.867,0,-2,-2
18:5:8.867,2,1,-2
18:5:8.867,0,3,-2
18:5:8.867,-7,0,-2
18:5:8.867,3,0,-2
18:5:8.867,-2,-4,-2
18:5:8.867,-1,-1,-2
18:5:8.867,-1,6,-3
18:5:8.867,5,1,-3
18:5:8.867,-1,-2,-2
18:5:8.867,-4,0,-1
18:5:8.867,-6,-2,-3
18:5:8.867,0,-3,-3
18:5:8.867,-2,0,-3
18:5:8.867,2,1,-4
18:5:8.867,4,-3,-3
18:5:8.867,-2,-2,-4
18:5:8.867,-6,2,-3
18:5:8.867,0,1,-3
18:5:8.867,-1,2,-3
18:5:8.867,0,-3,-2
18:5:8.867,0,2,-2
18:5:8.867,5,0,-2
18:5:8.894,0,-2,-3
18:5:8.894,-1,0,-2
18:5:8.894,2,-1,-3
18:5:8.894,-3,-2,-2
18:5:8.894,-1,1,-2
