TimeStamp,X,Y,Z
13:45:34.219,0,5,1
13:45:34.219,3,4,0
13:45:34.219,5,2,1
13:45:34.219,-1,1,3
13:45:34.219,0,1,3
13:45:34.219,1,3,2
13:45:34.219,1,3,1
13:45:34.219,-2,2,3
13:45:34.219,3,0,3
13:45:34.219,1,2,2
13:45:34.219,-4,0,2
13:45:34.219,-1,1,0
13:45:34.219,-1,6,0
13:45:34.219,8,-3,2
13:45:34.219,0,2,1
13:45:34.219,-2,1,1
13:45:34.219,-6,-1,1
13:45:34.219,-1,0,1
13:45:34.219,-1,2,1
13:45:34.219,4,0,2
13:45:34.219,1,0,1
13:45:34.219,0,4,1
13:45:34.219,1,4,1
13:45:34.219,-2,7,3
13:45:34.219,0,-2,3
13:45:34.219,0,2,3
13:45:34.219,-3,5,2
13:45:34.219,1,1,2
13:45:34.219,1,1,1
13:45:34.219,-1,1,1
13:45:34.251,2,1,2
13:45:34.251,2,-2,1
13:45:34.251,-4,3,2
13:45:34.251,0,1,3
13:45:34.251,2,-1,3
13:45:34.251,1,2,1
13:45:34.251,5,1,2
13:45:34.251,5,0,3
13:45:34.251,-3,3,1
13:45:34.251,2,5,3
13:45:34.251,5,5,2
13:45:34.251,1,-2,0
13:45:34.251,-2,-2,2
13:45:34.251,-5,1,2
13:45:34.251,0,-1,4
13:45:34.251,2,0,2
13:45:34.251,1,1,3
13:45:34.251,3,2,1
13:45:34.251,0,0,1
13:45:34.251,-4,0,2
13:45:34.251,-3,2,1
13:45:34.251,-2,4,1
13:45:34.251,0,-2,1
13:45:34.251,0,1,3
13:45:34.251,4,1,4
13:45:34.251,4,2,3
13:45:34.251,3,1,2
13:45:34.251,-1,3,3
13:45:34.251,1,1,1
13:45:34.251,4,0,3
13:45:34.251,-3,-1,1
13:45:34.251,-2,7,2
13:45:34.283,3,4,1
13:45:34.283,2,-1,3
13:45:34.283,1,-2,1
13:45:34.283,-2,-2,2
13:45:34.283,-3,1,1
13:45:34.283,3,-5,4
13:45:34.283,4,-1,1
13:45:34.283,3,-1,3
13:45:34.283,2,-2,1
13:45:34.283,-3,0,1
13:45:34.283,2,1,2
13:45:34.283,3,5,2
13:45:34.283,2,-2,2
13:45:34.283,-5,9,2
13:45:34.283,1,3,3
13:45:34.283,3,2,3
13:45:34.283,-1,3,2
13:45:34.283,2,-1,3
13:45:34.283,1,0,1
13:45:34.283,-4,1,2
13:45:34.283,0,-2,3
13:45:34.283,4,-1,3
13:45:34.283,-1,-2,2
13:45:34.283,7,2,0
13:45:34.283,-1,2,1
13:45:34.283,6,3,0
13:45:34.283,3,2,1
13:45:34.283,0,2,2
13:45:34.283,3,4,1
13:45:34.283,1,1,2
13:45:34.283,-6,3,0
13:45:34.283,5,0,3
13:45:34.313,-2,-1,1
13:45:34.313,-2,0,2
13:45:34.313,-1,-1,1
13:45:34.313,-5,-2,2
13:45:34.313,-1,0,2
13:45:34.313,-1,2,1
13:45:34.313,0,6,0
13:45:34.313,2,2,2
13:45:34.313,5,1,2
13:45:34.313,4,2,3
13:45:34.313,-1,1,2
13:45:34.313,0,6,4
13:45:34.313,1,4,2
13:45:34.313,3,1,3
13:45:34.313,-5,0,1
13:45:34.313,-1,5,1
13:45:34.313,-1,6,2
13:45:34.313,-3,2,2
13:45:34.313,1,2,3
13:45:34.313,1,-1,3
13:45:34.313,0,2,1
13:45:34.313,2,1,3
13:45:34.313,-3,-1,1
13:45:34.313,1,3,1
13:45:34.313,4,2,2
13:45:34.313,-3,0,0
13:45:34.313,-4,2,2
13:45:34.313,3,2,3
13:45:34.313,1,1,4
13:45:34.313,0,2,2
13:45:34.344,1,1,3
13:45:34.344,4,3,4
13:45:34.344,3,-1,3
13:45:34.344,4,5,3
13:45:34.344,1,5,1
13:45:34.344,3,0,2
13:45:34.344,-6,4,2
13:45:34.344,-1,2,2
13:45:34.344,-2,1,1
13:45:34.344,0,1,2
13:45:34.344,-3,0,1
13:45:34.344,-2,-1,2
13:45:34.344,1,3,3
13:45:34.344,0,-3,2
13:45:34.344,4,0,1
13:45:34.344,1,2,1
13:45:34.344,-1,4,2
13:45:34.344,4,2,2
13:45:34.344,1,1,2
13:45:34.344,4,0,3
13:45:34.344,-2,5,2
13:45:34.344,2,2,2
13:45:34.344,1,1,1
13:45:34.344,-6,-1,0
13:45:34.344,0,1,1
13:45:34.344,4,2,2
13:45:34.344,5,0,3
13:45:34.344,4,-1,3
13:45:34.344,6,4,2
13:45:34.344,1,2,1
