Millis, X Accel, Y Accel, Z Accel
0,0.83574,0.018141,0.56772
0,0.83072,0.018141,0.5627
1,0.83072,0.018141,0.5627
1,0.83574,0.023133,0.5627
2,0.83072,0.028124,0.55266
2,0.82571,0.023133,0.55768
3,0.83072,0.023133,0.55768
3,0.83072,0.023133,0.55768
4,0.83072,0.018141,0.55768
5,0.83072,0.018141,0.5627
5,0.83072,0.018141,0.5627
6,0.83072,0.023133,0.55768
6,0.83072,0.023133,0.55266
7,0.82571,0.018141,0.55768
7,0.82069,0.023133,0.55768
8,0.82069,0.018141,0.55266
8,0.82069,0.023133,0.55266
9,0.82069,0.023133,0.55266
9,0.82571,0.013149,0.55266
10,0.81568,0.018141,0.55266
11,0.82069,0.018141,0.55266
11,0.82571,0.023133,0.55266
12,0.83072,0.023133,0.55266
12,0.82069,0.018141,0.55266
13,0.83072,0.023133,0.5627
13,0.82571,0.018141,0.55266
14,0.82069,0.018141,0.54764
14,0.82069,0.028124,0.55266
15,0.82571,0.023133,0.55266
16,0.82571,0.013149,0.55768
16,0.82571,0.023133,0.55768
17,0.82069,0.023133,0.54764
17,0.82571,0.023133,0.55768
18,0.82069,0.018141,0.55768
18,0.82571,0.023133,0.55768
19,0.82069,0.018141,0.55266
19,0.82069,0.023133,0.55266
20,0.82571,0.023133,0.55768
21,0.82571,0.023133,0.55768
21,0.82069,0.028124,0.55266
22,0.82069,0.023133,0.55266
22,0.81568,0.023133,0.55768
23,0.82571,0.023133,0.55768
23,0.82571,0.018141,0.55266
24,0.82069,0.023133,0.55266
24,0.82069,0.023133,0.55768
25,0.82571,0.038108,0.55768
26,0.82571,0.013149,0.55768
26,0.83072,0.018141,0.55768
27,0.82571,0.018141,0.55768
27,0.82571,0.018141,0.55768
28,0.82069,0.013149,0.55768
28,0.83072,0.018141,0.55768
29,0.83072,0.023133,0.55266
29,0.81568,0.018141,0.55768
30,0.82571,0.018141,0.55768
31,0.82571,0.023133,0.5627
31,0.83072,0.018141,0.55768
32,0.82069,0.023133,0.55768
32,0.83072,0.023133,0.55768
33,0.83072,0.023133,0.5627
33,0.82571,0.028124,0.5627
34,0.82069,0.023133,0.55768
34,0.82571,0.023133,0.5627
35,0.83072,0.023133,0.55266
35,0.82571,0.023133,0.55768
36,0.82069,0.023133,0.55768
37,0.83574,0.023133,0.5627
37,0.83072,0.023133,0.55768
38,0.82571,0.028124,0.56772
38,0.82069,0.023133,0.5627
39,0.85579,0.018141,0.5627
39,0.82571,0.018141,0.5627
40,0.83072,0.023133,0.55768
40,0.82571,0.023133,0.55768
41,0.82069,0.023133,0.5627
42,0.82571,0.023133,0.5627
42,0.82571,0.018141,0.55768
43,0.82571,0.018141,0.55768
43,0.82571,0.018141,0.55266
44,0.82571,0.018141,0.55768
44,0.82571,0.018141,0.55266
45,0.82571,0.023133,0.55768
45,0.82571,0.018141,0.5627
46,0.83072,0.023133,0.55768
47,0.82069,0.023133,0.55768
47,0.82069,0.028124,0.55266
48,0.83072,0.023133,0.55266
48,0.83072,0.028124,0.55768
49,0.83072,0.018141,0.55768
49,0.82069,0.023133,0.55768
50,0.82069,0.023133,0.55266
50,0.82571,0.018141,0.55768
51,0.82571,0.028124,0.55768
52,0.81568,0.018141,0.55768
52,0.82571,0.023133,0.54764
53,0.82069,0.013149,0.55768
53,0.82069,0.023133,0.5627
54,0.82571,0.023133,0.55768
54,0.82571,0.018141,0.55266
55,0.81067,0.018141,0.55266
55,0.82571,0.018141,0.55768
56,0.82571,0.023133,0.55266
57,0.82571,0.023133,0.55768
57,0.82069,0.018141,0.55768
58,0.82069,0.018141,0.55768
58,0.82571,0.023133,0.55768
59,0.82069,0.023133,0.55768
59,0.82069,0.018141,0.5627
60,0.82571,0.018141,0.5627
60,0.82571,0.023133,0.5627
61,0.82571,0.023133,0.54262
