TimeStamp,X,Y,Z
15:3:22.324,-4,0,-2
15:3:22.324,0,-1,-3
15:3:22.324,3,3,-3
15:3:22.324,3,1,-3
15:3:22.324,0,1,-2
15:3:22.324,-1,0,-4
15:3:22.324,4,2,-3
15:3:22.324,-3,0,0
15:3:22.324,1,1,-1
15:3:22.324,3,4,-1
15:3:22.324,3,2,-2
15:3:22.324,5,4,-3
15:3:22.324,-1,5,-2
15:3:22.324,3,6,-1
15:3:22.324,3,1,-3
15:3:22.324,0,-2,-2
15:3:22.324,-4,3,-3
15:3:22.324,0,4,-3
15:3:22.324,-7,0,-2
15:3:22.324,-1,3,-2
15:3:22.324,0,5,-2
15:3:22.324,-1,-2,-2
15:3:22.324,-4,1,-3
15:3:22.324,0,5,-3
15:3:22.324,0,4,-2
15:3:22.324,-3,0,-2
15:3:22.324,-3,4,0
15:3:22.324,7,3,-1
15:3:22.324,-1,2,-1
15:3:22.324,-3,2,0
15:3:22.359,0,1,-3
15:3:22.359,-3,-1,-3
15:3:22.359,-2,-2,-3
15:3:22.359,0,0,-3
15:3:22.359,-3,5,-2
15:3:22.359,-1,1,0
15:3:22.359,-2,3,-2
15:3:22.359,-3,3,-2
15:3:22.359,2,1,-4
15:3:22.359,-3,0,-2
15:3:22.359,0,2,-4
15:3:22.359,6,7,-4
15:3:22.359,3,0,-1
15:3:22.359,1,1,-1
15:3:22.359,3,2,-2
15:3:22.359,9,3,-1
15:3:22.359,0,3,-1
15:3:22.359,-3,4,-2
15:3:22.359,-5,5,0
15:3:22.359,1,-1,-1
15:3:22.359,0,0,-3
15:3:22.359,-1,5,-4
15:3:22.359,1,2,-3
15:3:22.359,2,1,-3
15:3:22.359,1,2,-1
15:3:22.359,-1,3,-1
15:3:22.359,2,0,-2
15:3:22.359,-2,4,-2
15:3:22.359,-2,4,-1
15:3:22.359,1,1,-3
15:3:22.359,5,2,-3
15:3:22.359,-3,7,-2
15:3:22.359,-2,7,-3
15:3:22.359,1,3,-3
15:3:22.359,0,-1,-3
15:3:22.359,-2,4,0
15:3:22.387,-2,0,-2
15:3:22.387,0,4,-2
15:3:22.387,-6,2,0
15:3:22.387,-1,2,-2
15:3:22.387,3,0,-2
15:3:22.387,-6,1,-3
15:3:22.387,-4,4,-3
15:3:22.387,0,4,-3
15:3:22.387,-1,0,-1
15:3:22.387,1,3,-1
15:3:22.387,3,3,-2
15:3:22.387,-1,2,-1
15:3:22.387,1,4,-1
15:3:22.387,4,3,-2
15:3:22.387,6,2,-4
15:3:22.387,-2,-2,-3
15:3:22.387,-2,2,-4
15:3:22.387,2,4,-4
15:3:22.387,-1,3,-2
15:3:22.387,-6,1,-1
15:3:22.387,-2,5,-2
15:3:22.387,-1,4,-2
15:3:22.387,-1,5,-2
15:3:22.387,-2,1,-3
15:3:22.387,0,6,-2
15:3:22.387,1,0,-2
15:3:22.387,4,1,-3
15:3:22.387,-5,3,-3
15:3:22.418,3,6,-2
15:3:22.418,-3,3,-2
15:3:22.418,-3,1,-2
15:3:22.418,0,3,-1
15:3:22.418,1,2,0
15:3:22.418,1,0,-2
15:3:22.418,1,4,-3
15:3:22.418,5,3,-2
15:3:22.418,3,0,-1
15:3:22.418,-2,3,-3
15:3:22.418,-2,0,-2
15:3:22.418,-3,-1,-3
15:3:22.418,-4,0,-3
15:3:22.418,-1,2,-2
15:3:22.418,1,1,-3
15:3:22.418,4,-1,-3
15:3:22.418,-1,5,-2
15:3:22.418,2,3,-3
15:3:22.418,1,1,-2
15:3:22.418,-1,-1,-3
15:3:22.418,-2,4,-1
15:3:22.418,-1,1,-1
15:3:22.418,-1,0,0
15:3:22.418,-4,4,-2
15:3:22.418,-3,-2,-2
15:3:22.418,4,0,-3
15:3:22.418,-5,-1,-4
15:3:22.418,-3,-1,-3
15:3:22.418,-2,6,-3
15:3:22.418,1,3,-2
15:3:22.450,5,2,-1
15:3:22.450,1,6,-2
15:3:22.450,1,2,-1
