Millis, X Accel, Y Accel, Z Accel
0,0.87586,0.053661,0.48632
0,0.86583,0.043678,0.47628
1,0.86583,0.043678,0.48632
1,0.86583,0.043678,0.48632
2,0.86583,0.053661,0.48632
2,0.86583,0.033694,0.48632
3,0.8558,0.043678,0.49636
4,0.86583,0.023711,0.48632
4,0.8558,0.033694,0.49636
5,0.8558,0.023711,0.48632
5,0.83575,0.033694,0.47628
6,0.86583,0.043678,0.5064
6,0.86583,0.043678,0.47628
7,0.8558,0.043678,0.5064
7,0.8558,0.043678,0.46624
8,0.86583,0.043678,0.47628
9,0.87586,0.033694,0.47628
9,0.87586,0.023711,0.48632
10,0.87586,0.043678,0.48632
10,0.87586,0.033694,0.49636
11,0.87586,0.053661,0.48632
11,0.87586,0.043678,0.49636
12,0.87586,0.013727,0.48632
12,0.87586,0.033694,0.48632
13,0.87586,0.043678,0.47628
14,0.86583,0.033694,0.49636
14,0.88589,0.043678,0.48632
15,0.87586,0.043678,0.5064
15,0.88589,0.043678,0.47628
16,0.86583,0.043678,0.47628
16,0.87586,0.033694,0.47628
17,0.87586,0.033694,0.47628
17,0.87586,0.033694,0.46624
18,0.86583,0.023711,0.47628
18,0.87586,0.023711,0.48632
19,0.87586,0.023711,0.48632
20,0.87586,0.013727,0.49636
20,0.87586,0.033694,0.48632
21,0.88589,0.023711,0.47628
21,0.86583,0.033694,0.47628
22,0.87586,0.033694,0.48632
22,0.87586,0.033694,0.47628
23,0.87586,0.023711,0.47628
23,0.88589,0.043678,0.47628
24,0.88589,0.033694,0.48632
25,0.87586,0.023711,0.4562
25,0.88589,0.023711,0.46624
26,0.87586,0.023711,0.46624
26,0.88589,0.013727,0.47628
27,0.87586,0.023711,0.47628
27,0.87586,0.013727,0.46624
28,0.87586,0.013727,0.48632
28,0.87586,0.033694,0.48632
29,0.87586,0.033694,0.46624
30,0.90594,0.013727,0.48632
30,0.88589,0.043678,0.47628
31,0.87586,0.033694,0.47628
31,0.88589,0.033694,0.4562
32,0.88589,0.033694,0.46624
32,0.88589,0.033694,0.4562
33,0.87586,0.043678,0.47628
33,0.88589,0.033694,0.4562
34,0.89591,0.043678,0.46624
35,0.89591,0.043678,0.4562
35,0.89591,0.023711,0.47628
36,0.87586,0.023711,0.46624
36,0.87586,0.023711,0.47628
37,0.84578,0.023711,0.46624
37,0.87586,0.013727,0.47628
38,0.87586,0.033694,0.4562
38,0.87586,0.023711,0.47628
39,0.87586,0.023711,0.47628
39,0.88589,0.033694,0.47628
40,0.87586,0.0037438,0.46624
41,0.87586,0.043678,0.46624
41,0.87586,0.043678,0.46624
42,0.90594,0.033694,0.46624
42,0.88589,0.023711,0.47628
43,0.87586,0.033694,0.47628
43,0.88589,0.033694,0.46624
44,0.87586,0.033694,0.48632
44,0.88589,0.023711,0.47628
45,0.87586,0.0037438,0.47628
46,0.88589,0.023711,0.47628
46,0.87586,0.023711,0.46624
47,0.86583,0.023711,0.47628
47,0.87586,0.023711,0.46624
48,0.87586,0.023711,0.47628
48,0.87586,0.023711,0.46624
49,0.88589,0.023711,0.47628
49,0.88589,0.023711,0.46624
50,0.88589,0.013727,0.47628
51,0.88589,0.023711,0.48632
51,0.89591,0.023711,0.48632
52,0.88589,0.033694,0.47628
52,0.87586,0.033694,0.48632
53,0.87586,0.023711,0.48632
53,0.86583,0.053661,0.48632
54,0.87586,0.033694,0.47628
54,0.86583,0.023711,0.49636
55,0.88589,0.053661,0.46624
56,0.87586,0.043678,0.48632
