TimeStamp,X,Y,Z
14:3:11.624,3,0,1
14:3:11.624,5,-1,-1
14:3:11.624,3,-2,1
14:3:11.624,1,-1,1
14:3:11.624,4,0,-1
14:3:11.624,2,0,-1
14:3:11.624,-3,-2,0
14:3:11.624,7,-1,0
14:3:11.624,-1,-2,0
14:3:11.624,2,-1,0
14:3:11.624,3,0,-1
14:3:11.624,6,2,0
14:3:11.624,5,2,0
14:3:11.624,3,5,0
14:3:11.624,3,3,-1
14:3:11.624,6,4,-1
14:3:11.624,1,1,0
14:3:11.624,0,0,-2
14:3:11.624,3,-2,-1
14:3:11.624,1,-1,0
14:3:11.624,-2,-2,-1
14:3:11.624,0,-2,0
14:3:11.624,2,-3,1
14:3:11.624,0,-3,-1
14:3:11.624,2,-2,-1
14:3:11.624,1,1,-2
14:3:11.624,0,-6,-2
14:3:11.624,0,0,1
14:3:11.624,2,-3,1
14:3:11.624,2,0,0
14:3:11.659,2,-5,-1
14:3:11.659,1,1,1
14:3:11.659,3,3,-2
14:3:11.659,4,-2,0
14:3:11.659,5,0,0
14:3:11.659,0,2,0
14:3:11.659,5,-3,2
14:3:11.659,4,-2,0
14:3:11.659,3,4,-1
14:3:11.660,5,2,-2
14:3:11.660,-1,-4,-1
14:3:11.660,-3,-3,-1
14:3:11.660,1,1,-1
14:3:11.660,5,-2,0
14:3:11.660,4,-2,0
14:3:11.660,-1,2,2
14:3:11.660,7,4,0
14:3:11.660,2,3,1
14:3:11.660,3,1,-1
14:3:11.660,2,0,1
14:3:11.660,3,1,2
14:3:11.660,-2,1,-1
14:3:11.660,3,2,1
14:3:11.660,6,-2,0
14:3:11.660,3,-4,0
14:3:11.660,-1,-1,0
14:3:11.660,-1,1,0
14:3:11.660,-2,-2,1
14:3:11.660,-2,0,-1
14:3:11.660,2,2,-1
14:3:11.660,-1,-1,-1
14:3:11.660,3,-1,-1
14:3:11.660,3,-1,0
14:3:11.660,-1,1,0
14:3:11.660,7,1,0
14:3:11.660,4,-1,0
14:3:11.687,5,-1,0
14:3:11.687,2,-1,1
14:3:11.687,2,-2,0
14:3:11.687,0,-1,0
14:3:11.687,0,4,0
14:3:11.687,0,-2,-1
14:3:11.687,-2,-4,0
14:3:11.687,3,2,-1
14:3:11.687,7,-1,-1
14:3:11.687,7,-3,1
14:3:11.687,2,1,1
14:3:11.687,4,1,0
14:3:11.687,1,0,0
14:3:11.687,2,1,0
14:3:11.687,8,0,0
14:3:11.687,4,0,-2
14:3:11.687,1,-1,-1
14:3:11.687,3,0,0
14:3:11.687,2,2,0
14:3:11.687,6,-1,1
14:3:11.687,0,-2,-1
14:3:11.687,-3,-2,1
14:3:11.687,1,-3,1
14:3:11.687,3,-1,1
14:3:11.687,0,0,-1
14:3:11.687,2,-1,-2
14:3:11.687,1,-5,1
14:3:11.687,9,-1,-1
14:3:11.718,-1,-1,-1
14:3:11.718,5,-3,-1
14:3:11.718,3,-1,0
14:3:11.718,4,1,-1
14:3:11.718,6,2,1
14:3:11.718,4,-1,1
14:3:11.718,2,1,-1
14:3:11.718,3,6,0
14:3:11.718,5,0,1
14:3:11.718,4,1,0
14:3:11.718,3,-3,1
14:3:11.718,-1,0,0
14:3:11.718,1,-1,0
14:3:11.718,6,-2,-1
14:3:11.718,0,1,0
14:3:11.718,-2,-2,0
14:3:11.718,1,-2,-1
14:3:11.718,-2,-2,-2
14:3:11.718,2,0,-2
14:3:11.718,3,2,-1
14:3:11.718,-1,-1,-1
14:3:11.718,4,-1,0
14:3:11.718,1,3,0
14:3:11.718,4,-2,1
14:3:11.718,1,0,0
14:3:11.718,3,1,-1
14:3:11.718,2,1,0
14:3:11.718,-1,-1,-1
14:3:11.718,1,-4,-1
14:3:11.718,1,2,-1
14:3:11.749,2,-2,-1
14:3:11.749,4,-2,0
14:3:11.749,2,-1,0
14:3:11.749,-1,-1,0
14:3:11.749,1,-1,0
14:3:11.749,0,-3,1
14:3:11.749,0,0,-1
14:3:11.749,2,-4,-2
14:3:11.749,1,-1,-1
14:3:11.749,2,1,0
14:3:11.749,1,2,0
14:3:11.749,0,2,2
14:3:11.749,0,0,2
14:3:11.749,5,0,0
14:3:11.749,5,-1,0
14:3:11.749,0,-1,0
14:3:11.749,3,0,1
14:3:11.749,1,-2,-2
14:3:11.749,0,-4,-1
14:3:11.749,-3,-1,-1
14:3:11.749,2,-3,1
14:3:11.749,6,-4,0
14:3:11.749,1,0,-1
14:3:11.749,2,5,1
14:3:11.749,0,-2,0
14:3:11.749,6,-1,-1
14:3:11.749,3,3,-1
14:3:11.749,2,1,0
14:3:11.749,4,-2,-1
14:3:11.749,-2,-2,0
14:3:11.749,2,2,0
14:3:11.749,2,-3,2
14:3:11.780,0,-2,0
14:3:11.780,2,-2,0
14:3:11.780,2,1,1
14:3:11.780,4,-2,-1
14:3:11.780,-4,-2,-1
14:3:11.780,-2,1,-2
14:3:11.780,5,2,-1
14:3:11.780,0,2,0
14:3:11.780,-3,2,0
14:3:11.780,7,-1,0
14:3:11.780,-4,2,-1
14:3:11.780,-2,0,1
14:3:11.780,3,1,1
14:3:11.780,1,-2,0
14:3:11.780,0,-2,0
14:3:11.780,2,2,0
14:3:11.780,0,2,-1
14:3:11.780,-3,-5,1
14:3:11.780,-2,-4,1
14:3:11.780,3,-1,0
14:3:11.780,-1,-2,1
14:3:11.780,-4,-1,-1
14:3:11.780,0,-1,0
14:3:11.780,5,0,-1
14:3:11.780,5,-3,0
14:3:11.780,1,1,1
14:3:11.780,2,0,0
14:3:11.780,7,1,1
14:3:11.780,0,1,0
14:3:11.780,1,2,1
14:3:11.813,5,4,0
14:3:11.813,-3,0,1
14:3:11.813,4,0,-1
14:3:11.813,-2,6,-1
14:3:11.813,2,0,-1
14:3:11.813,-1,-2,-1
14:3:11.813,2,-1,0
