TimeStamp,X,Y,Z
19:13:3.494,-2,-2,1
19:13:3.494,0,-5,1
19:13:3.494,-5,1,3
19:13:3.494,2,-1,1
19:13:3.494,4,2,0
19:13:3.494,-3,-3,1
19:13:3.494,-2,-3,0
19:13:3.495,1,2,-1
19:13:3.495,0,-5,0
19:13:3.495,0,-2,0
19:13:3.495,-5,-2,0
19:13:3.495,3,-1,2
19:13:3.495,-1,1,4
19:13:3.495,-7,2,0
19:13:3.495,3,1,0
19:13:3.495,-8,-8,1
19:13:3.495,-1,-7,0
19:13:3.495,-4,7,0
19:13:3.495,3,-1,-1
19:13:3.495,0,-5,-1
19:13:3.495,-5,2,1
19:13:3.495,0,-1,1
19:13:3.495,0,-7,2
19:13:3.495,-4,-1,0
19:13:3.495,1,2,0
19:13:3.495,2,-6,0
19:13:3.495,-2,-7,-3
19:13:3.495,-7,4,2
19:13:3.495,2,2,0
19:13:3.495,0,-4,1
19:13:3.495,-2,-3,1
19:13:3.495,-3,3,1
19:13:3.524,-1,-7,2
19:13:3.524,-3,-6,1
19:13:3.524,0,3,1
19:13:3.524,2,-2,-1
19:13:3.524,5,-7,-2
19:13:3.524,-11,-3,-2
19:13:3.524,0,0,-1
19:13:3.524,2,4,1
19:13:3.524,-2,-7,1
19:13:3.524,0,2,1
19:13:3.524,-1,0,2
19:13:3.524,5,-5,1
19:13:3.524,-9,-1,3
19:13:3.524,-3,-2,0
19:13:3.524,6,-1,-2
19:13:3.524,-3,-12,-1
19:13:3.524,-2,-1,0
19:13:3.524,-3,-3,1
19:13:3.524,0,-5,2
19:13:3.524,-5,0,3
19:13:3.524,3,-1,0
19:13:3.524,1,-3,0
19:13:3.524,-5,-9,0
19:13:3.524,-4,-3,-1
19:13:3.524,5,1,-1
19:13:3.524,2,-7,-1
19:13:3.524,-1,-2,0
19:13:3.524,-4,-3,0
19:13:3.524,5,-1,2
19:13:3.524,-2,-2,2
19:13:3.553,-9,2,0
19:13:3.553,4,1,0
19:13:3.553,-3,-7,0
19:13:3.553,-1,-2,-1
19:13:3.553,0,5,0
19:13:3.553,0,-4,-1
19:13:3.553,-6,-1,0
19:13:3.553,-3,-2,0
19:13:3.553,-3,-1,1
19:13:3.553,-4,-4,3
19:13:3.553,-5,-4,0
19:13:3.553,-3,0,0
19:13:3.553,2,-4,1
19:13:3.553,4,-7,-1
19:13:3.553,-8,0,-2
19:13:3.553,5,2,-1
19:13:3.553,1,-1,1
19:13:3.553,-1,-5,1
19:13:3.553,-3,2,1
19:13:3.553,0,-4,3
19:13:3.553,-4,-4,0
19:13:3.553,-5,3,1
19:13:3.553,1,1,0
19:13:3.553,-2,-7,-2
19:13:3.553,-11,-4,0
19:13:3.553,-1,-4,-1
19:13:3.553,2,2,0
19:13:3.553,-3,-6,1
19:13:3.553,-8,0,2
19:13:3.553,-1,-3,1
19:13:3.584,5,-2,2
19:13:3.584,-3,-1,1
19:13:3.584,-2,-1,1
19:13:3.584,7,4,-1
19:13:3.584,-3,-8,1
19:13:3.584,-2,0,1
19:13:3.584,3,-2,0
19:13:3.584,-4,-7,2
19:13:3.584,-3,-4,-1
19:13:3.584,-2,7,-1
19:13:3.584,4,-4,0
19:13:3.584,-3,-3,1
19:13:3.584,-3,-2,1
19:13:3.584,1,0,2
19:13:3.584,2,-3,3
19:13:3.584,-6,3,2
19:13:3.584,-3,3,1
19:13:3.584,-3,-6,0
19:13:3.584,2,-4,0
19:13:3.584,-5,4,2
19:13:3.584,4,1,-1
19:13:3.584,2,-2,1
19:13:3.584,-2,0,2
19:13:3.584,0,3,2
19:13:3.584,-3,-6,2
19:13:3.584,-3,-5,2
19:13:3.584,-5,2,2
19:13:3.617,2,0,2
19:13:3.617,5,-6,0
19:13:3.617,-11,-1,1
19:13:3.617,1,3,0
19:13:3.617,3,3,0
19:13:3.617,1,-1,1
19:13:3.617,-1,5,2
19:13:3.617,3,-4,3
19:13:3.617,-1,0,2
19:13:3.617,-7,1,3
19:13:3.617,-1,5,1
19:13:3.617,2,-2,0
19:13:3.617,-7,-2,1
19:13:3.617,-2,1,1
19:13:3.617,-2,0,1
19:13:3.617,1,-2,2
19:13:3.617,-6,1,3
19:13:3.617,-3,3,1
19:13:3.617,3,1,2
19:13:3.617,-6,1,1
19:13:3.617,-3,-1,1
19:13:3.617,4,1,0
19:13:3.617,1,-9,0
19:13:3.617,-2,-6,1
19:13:3.617,-7,0,1
19:13:3.617,4,1,2
19:13:3.617,-3,0,1
19:13:3.617,-5,3,1
19:13:3.617,4,2,0
19:13:3.617,-3,-7,1
19:13:3.617,0,-9,1
19:13:3.617,-4,5,1
19:13:3.648,6,-3,0
19:13:3.648,2,-3,2
19:13:3.648,-7,-1,2
19:13:3.648,-3,-1,2
19:13:3.648,-2,-6,3
19:13:3.648,-3,-4,1
19:13:3.648,-2,2,2
19:13:3.648,4,-4,-1
19:13:3.648,5,-6,0
19:13:3.648,-6,2,1
19:13:3.648,3,-1,-1
19:13:3.648,1,-2,1
19:13:3.648,-5,-5,2
19:13:3.648,-4,0,1
19:13:3.648,-2,-4,2
19:13:3.648,-1,-3,2
19:13:3.648,-5,-3,2
19:13:3.648,-2,-1,-1
19:13:3.648,5,-4,0
