Millis, X Accel, Y Accel, Z Accel
0,0.84578,0.0037438,0.5566
0,0.82572,-0.0062397,0.5566
1,0.82572,-0.0062397,0.5566
1,0.83575,0.0037438,0.5566
2,0.83575,0.0037438,0.5566
2,0.83575,-0.0062397,0.5566
3,0.83575,0.013727,0.54656
3,0.83575,0.0037438,0.54656
4,0.83575,-0.0062397,0.54656
5,0.83575,-0.0062397,0.56664
5,0.82572,-0.0062397,0.5566
6,0.83575,-0.0062397,0.54656
6,0.82572,0.0037438,0.54656
7,0.81569,-0.0062397,0.54656
7,0.82572,-0.016223,0.5566
8,0.82572,-0.0062397,0.54656
8,0.83575,0.0037438,0.5566
9,0.82572,-0.0062397,0.5566
9,0.82572,0.0037438,0.5566
10,0.82572,-0.0062397,0.54656
11,0.82572,0.0037438,0.54656
11,0.81569,0.0037438,0.56664
12,0.82572,0.0037438,0.54656
12,0.83575,-0.0062397,0.5566
13,0.83575,-0.0062397,0.58673
13,0.83575,0.013727,0.53652
14,0.82572,-0.0062397,0.54656
14,0.82572,0.0037438,0.53652
15,0.82572,0.0037438,0.56664
16,0.82572,-0.0062397,0.5566
16,0.82572,-0.016223,0.5566
17,0.82572,0.0037438,0.54656
17,0.82572,-0.0062397,0.5566
18,0.84578,-0.0062397,0.53652
18,0.83575,-0.0062397,0.5566
19,0.82572,-0.0062397,0.54656
19,0.83575,-0.0062397,0.5566
20,0.84578,-0.0062397,0.5566
21,0.82572,0.0037438,0.5566
21,0.83575,-0.0062397,0.54656
22,0.83575,0.0037438,0.5566
22,0.83575,-0.0062397,0.5566
23,0.83575,-0.0062397,0.54656
23,0.83575,-0.0062397,0.56664
24,0.83575,-0.0062397,0.54656
24,0.82572,0.0037438,0.53652
25,0.82572,-0.0062397,0.53652
26,0.82572,-0.0062397,0.5566
26,0.82572,0.0037438,0.54656
27,0.83575,-0.0062397,0.54656
27,0.83575,-0.0062397,0.54656
28,0.82572,0.0037438,0.54656
28,0.82572,0.0037438,0.53652
29,0.82572,0.0037438,0.54656
29,0.83575,-0.0062397,0.5566
30,0.82572,-0.0062397,0.5566
31,0.83575,0.0037438,0.53652
31,0.82572,-0.016223,0.5566
32,0.82572,0.0037438,0.5566
32,0.82572,0.0037438,0.5566
33,0.81569,0.0037438,0.5566
33,0.82572,-0.0062397,0.5566
34,0.82572,-0.0062397,0.5566
34,0.81569,0.0037438,0.57669
35,0.82572,0.0037438,0.54656
35,0.83575,-0.0062397,0.5566
36,0.82572,-0.0062397,0.56664
37,0.82572,0.013727,0.56664
37,0.83575,0.0037438,0.56664
38,0.83575,0.0037438,0.5566
38,0.83575,-0.0062397,0.5566
39,0.83575,-0.0062397,0.5566
39,0.82572,-0.0062397,0.5566
