TimeStamp,X,Y,Z
18:5:30.680,1,-3,0
18:5:30.680,-1,0,1
18:5:30.680,2,-1,0
18:5:30.680,7,-2,1
18:5:30.680,3,-3,0
18:5:30.680,3,-3,-1
18:5:30.680,5,-2,0
18:5:30.680,-1,-1,-1
18:5:30.680,1,-5,-1
18:5:30.680,0,-1,-1
18:5:30.680,4,3,0
18:5:30.680,3,1,1
18:5:30.680,1,1,0
18:5:30.680,6,4,1
18:5:30.680,3,0,2
18:5:30.680,9,-2,0
18:5:30.680,6,4,0
18:5:30.680,5,-2,-1
18:5:30.680,2,0,-2
18:5:30.680,-1,-2,-2
18:5:30.680,0,-1,-1
18:5:30.680,0,-4,1
18:5:30.680,-3,-3,-1
18:5:30.680,7,3,0
18:5:30.680,5,-2,0
18:5:30.680,9,0,0
18:5:30.680,4,1,1
18:5:30.680,6,1,-1
18:5:30.680,5,3,1
18:5:30.680,1,-3,0
18:5:30.712,-2,1,-2
18:5:30.712,2,0,0
18:5:30.712,2,-2,-1
18:5:30.712,0,1,0
18:5:30.712,9,-5,-1
18:5:30.712,6,1,1
18:5:30.712,-1,-3,1
18:5:30.712,4,1,-1
18:5:30.712,2,2,0
18:5:30.712,1,-3,-1
18:5:30.712,6,-1,1
18:5:30.712,6,-2,0
18:5:30.712,4,-3,-2
18:5:30.712,0,-2,0
18:5:30.712,3,1,-1
18:5:30.712,2,0,0
18:5:30.712,3,-3,1
18:5:30.712,3,3,1
18:5:30.712,5,2,0
18:5:30.712,4,1,1
18:5:30.712,2,-1,0
18:5:30.712,1,1,-1
18:5:30.712,0,-1,-1
18:5:30.712,-2,-2,-1
18:5:30.712,-4,-1,-2
18:5:30.712,2,0,-1
18:5:30.712,0,-2,-1
18:5:30.712,7,-2,0
18:5:30.712,0,-2,1
18:5:30.712,4,2,-1
18:5:30.712,5,4,1
18:5:30.712,3,0,-1
18:5:30.743,3,4,0
18:5:30.743,5,-1,-1
18:5:30.743,6,-1,-1
18:5:30.743,0,3,-1
18:5:30.743,4,1,-1
18:5:30.743,2,-3,0
18:5:30.743,4,-3,0
18:5:30.743,2,-1,0
18:5:30.743,1,-6,1
18:5:30.743,4,-1,1
18:5:30.743,-1,0,0
18:5:30.743,2,-1,-2
18:5:30.743,1,-2,0
18:5:30.743,-3,0,-2
18:5:30.743,-1,-2,-3
18:5:30.743,2,1,-2
18:5:30.743,4,-4,-1
18:5:30.743,4,0,1
18:5:30.743,8,-2,1
18:5:30.743,8,2,0
18:5:30.743,4,1,0
18:5:30.743,3,0,-1
18:5:30.743,4,0,-1
18:5:30.743,2,0,-1
18:5:30.743,2,0,-2
18:5:30.743,-2,0,-1
18:5:30.743,2,-5,-2
18:5:30.743,3,0,1
18:5:30.743,0,-2,0
18:5:30.743,4,-3,1
18:5:30.778,5,-4,1
18:5:30.778,2,0,1
18:5:30.778,6,2,0
