Millis, X Accel, Y Accel, Z Accel
0,1.1593,0.0044926,0.29441
0,1.1714,0.0044926,0.28236
1,1.1714,0.0044926,0.29441
1,1.1714,0.0044926,0.27031
2,1.1714,-0.0074876,0.27031
2,1.1714,-0.0074876,0.27031
3,1.1714,-0.019468,0.28236
3,1.1834,-0.0074876,0.29441
4,1.1714,-0.0074876,0.27031
5,1.1714,-0.0074876,0.28236
5,1.1834,-0.0074876,0.28236
6,1.1714,-0.0074876,0.27031
6,1.1834,-0.019468,0.28236
7,1.1834,-0.0074876,0.28236
7,1.1714,-0.0074876,0.27031
8,1.1714,-0.0074876,0.27031
8,1.1834,-0.0074876,0.28236
9,1.1714,0.016473,0.25827
9,1.1834,0.0044926,0.27031
10,1.1954,-0.0074876,0.27031
11,1.1834,0.0044926,0.25827
11,1.1714,-0.0074876,0.25827
12,1.1714,-0.0074876,0.27031
12,1.1593,-0.0074876,0.27031
13,1.1714,-0.019468,0.27031
13,1.1834,-0.0074876,0.27031
14,1.1834,-0.0074876,0.27031
14,1.1834,-0.0074876,0.27031
15,1.1714,-0.0074876,0.24622
16,1.1714,0.016473,0.27031
16,1.1834,-0.0074876,0.25827
17,1.1714,-0.0074876,0.25827
17,1.1593,0.0044926,0.27031
18,1.1834,0.0044926,0.25827
18,1.1834,0.0044926,0.25827
19,1.1834,0.0044926,0.27031
19,1.1834,-0.0074876,0.25827
20,1.1834,0.0044926,0.27031
21,1.1593,-0.0074876,0.25827
21,1.1714,-0.0074876,0.27031
22,1.1834,0.0044926,0.27031
22,1.1714,-0.0074876,0.29441
23,1.1353,-0.0074876,0.27031
23,1.1714,-0.0074876,0.27031
24,1.1714,0.0044926,0.25827
24,1.1834,-0.0074876,0.27031
25,1.1834,-0.0074876,0.27031
26,1.1714,-0.0074876,0.27031
26,1.1834,-0.0074876,0.27031
27,1.1834,-0.0074876,0.27031
27,1.1714,0.0044926,0.25827
28,1.1834,-0.0074876,0.27031
28,1.1834,-0.0074876,0.27031
29,1.1593,-0.0074876,0.27031
